,Company,Title,link,Requirement since,location
0,Netflix,Data Scientist (L5) - Member Product,https://www.linkedin.com/jobs/view/data-scientist-l5-member-product-at-netflix-3774920311?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=qwCBxQjAhs%2Frn1VtfLLnQg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago,United States
1,Roku Inc.,Sr. Data Scientist,https://www.linkedin.com/jobs/view/sr-data-scientist-at-roku-inc-3790666919?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=UHif%2B6rsG5S2mtZbOsyn2w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"San Jose, CA"
2,Flexon Technologies Inc.,Junior Data Scientist,https://www.linkedin.com/jobs/view/junior-data-scientist-at-flexon-technologies-inc-3791864821?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=3cDBPzWp3bJAQfoqfpLPtw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Pleasanton, CA"
3,Cognitiv,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-cognitiv-3786753433?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=aLHYbH0gN%2Faq5%2BOnn5iHJA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,"Bellevue, WA"
4,Cognitiv,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-cognitiv-3786751934?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=r2LN%2BoU8cFMFUhrLYZT8sw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,6 days ago,"Bellevue, WA"
5,BetterBasket,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-betterbasket-3781428245?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=2n5I1RrULg1sXMagpEx7ig%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,New York City Metropolitan Area
6,Brightsmith,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-brightsmith-3774863648?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=8e3tX7SNP29rEwFK1LZezA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"Charlotte, NC"
7,BLOC Resources,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-bloc-resources-3787912656?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=ACV7JPeikz%2FgyPIGUS42ww%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Atlanta, GA"
8,Zortech Solutions,Data Scientist-PythonUSA,https://www.linkedin.com/jobs/view/data-scientist-pythonusa-at-zortech-solutions-3786165495?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=7oBola%2BzpZqwR%2F2nVwKuKw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Austin, TX"
9,Idea Evolver,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-idea-evolver-3787731661?refId=y36qtiRTwD8v7l%2Fvhd5ZqA%3D%3D&trackingId=35dKEHdWpt0rvqhP4AQ9iQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago,"Philadelphia, PA"
